Product_category,7
totalroute_number,10
productnum_number,60
componentcat_number,5
disworkstationnum_number,3
reaworkstationnum_number,3
The quantity of the 0th product is,60
The quantity of the 1th product is,60
The quantity of the 2th product is,60
The quantity of the 3th product is,60
The quantity of the 4th product is,60
The quantity of the 5th product is,60
The quantity of the 6th product is,60
The type of the 0th product 0th component damage type number is,2
The type of the 0th product 1th component damage type number is,3
The type of the 0th product 2th component damage type number is,2
The type of the 0th product 3th component damage type number is,1
The type of the 0th product 4th component damage type number is,2
The type of the 1th product 0th component damage type number is,2
The type of the 1th product 1th component damage type number is,1
The type of the 1th product 2th component damage type number is,2
The type of the 1th product 3th component damage type number is,2
The type of the 1th product 4th component damage type number is,2
The type of the 2th product 0th component damage type number is,3
The type of the 2th product 1th component damage type number is,1
The type of the 2th product 2th component damage type number is,3
The type of the 2th product 3th component damage type number is,2
The type of the 2th product 4th component damage type number is,1
The type of the 3th product 0th component damage type number is,1
The type of the 3th product 1th component damage type number is,3
The type of the 3th product 2th component damage type number is,3
The type of the 3th product 3th component damage type number is,2
The type of the 3th product 4th component damage type number is,1
The type of the 4th product 0th component damage type number is,2
The type of the 4th product 1th component damage type number is,1
The type of the 4th product 2th component damage type number is,2
The type of the 4th product 3th component damage type number is,2
The type of the 4th product 4th component damage type number is,3
The type of the 5th product 0th component damage type number is,3
The type of the 5th product 1th component damage type number is,2
The type of the 5th product 2th component damage type number is,2
The type of the 5th product 3th component damage type number is,3
The type of the 5th product 4th component damage type number is,1
The type of the 6th product 0th component damage type number is,2
The type of the 6th product 1th component damage type number is,3
The type of the 6th product 2th component damage type number is,1
The type of the 6th product 3th component damage type number is,1
The type of the 6th product 4th component damage type number is,2
The type of the 0th product 0th component 0th damage type combine number is,[4]
The type of the 0th product 0th component 1th damage type combine number is,[38]
The type of the 0th product 1th component 0th damage type combine number is,[4]
The type of the 0th product 1th component 1th damage type combine number is,[46]
The type of the 0th product 1th component 2th damage type combine number is,[43]
The type of the 0th product 2th component 0th damage type combine number is,[46]
The type of the 0th product 2th component 1th damage type combine number is,[17]
The type of the 0th product 3th component 0th damage type combine number is,[60]
The type of the 0th product 4th component 0th damage type combine number is,[55]
The type of the 0th product 4th component 1th damage type combine number is,[59]
