Product_category,5
totalroute_number,11
productnum_number,45
componentcat_number,3
disworkstationnum_number,3
reaworkstationnum_number,3
The quantity of the 0th product is,45
The quantity of the 1th product is,45
The quantity of the 2th product is,45
The quantity of the 3th product is,45
The quantity of the 4th product is,45
The type of the 0th product 0th component damage type number is,3
The type of the 0th product 1th component damage type number is,2
The type of the 0th product 2th component damage type number is,2
The type of the 1th product 0th component damage type number is,2
The type of the 1th product 1th component damage type number is,3
The type of the 1th product 2th component damage type number is,2
The type of the 2th product 0th component damage type number is,1
The type of the 2th product 1th component damage type number is,3
The type of the 2th product 2th component damage type number is,3
The type of the 3th product 0th component damage type number is,3
The type of the 3th product 1th component damage type number is,1
The type of the 3th product 2th component damage type number is,2
The type of the 4th product 0th component damage type number is,2
The type of the 4th product 1th component damage type number is,2
The type of the 4th product 2th component damage type number is,2
The type of the 0th product 0th component 0th damage type combine number is,[1]
The type of the 0th product 0th component 1th damage type combine number is,[2]
The type of the 0th product 0th component 2th damage type combine number is,[16]
The type of the 0th product 1th component 0th damage type combine number is,[34]
The type of the 0th product 1th component 1th damage type combine number is,[40]
The type of the 0th product 2th component 0th damage type combine number is,[28]
The type of the 0th product 2th component 1th damage type combine number is,[20]
The type of the 1th product 0th component 0th damage type combine number is,[4]
The type of the 1th product 0th component 1th damage type combine number is,[34]
The type of the 1th product 1th component 0th damage type combine number is,[37]
The type of the 1th product 1th component 1th damage type combine number is,[15]
The type of the 1th product 1th component 2th damage type combine number is,[7]
The type of the 1th product 2th component 0th damage type combine number is,[16]
The type of the 1th product 2th component 1th damage type combine number is,[18]
The type of the 2th product 0th component 0th damage type combine number is,[45]
The type of the 2th product 1th component 0th damage type combine number is,[16]
The type of the 2th product 1th component 1th damage type combine number is,[27]
The type of the 2th product 1th component 2th damage type combine number is,[27]
The type of the 2th product 2th component 0th damage type combine number is,[2]
The type of the 2th product 2th component 1th damage type combine number is,[15]
The type of the 2th product 2th component 2th damage type combine number is,[28]
The type of the 3th product 0th component 0th damage type combine number is,[11]
The type of the 3th product 0th component 1th damage type combine number is,[25]
The type of the 3th product 0th component 2th damage type combine number is,[10]
