Product_category,5
totalroute_number,11
productnum_number,65
componentcat_number,3
disworkstationnum_number,3
reaworkstationnum_number,3
The quantity of the 0th product is,65
The quantity of the 1th product is,65
The quantity of the 2th product is,65
The quantity of the 3th product is,65
The quantity of the 4th product is,65
The type of the 0th product 0th component damage type number is,2
The type of the 0th product 1th component damage type number is,1
The type of the 0th product 2th component damage type number is,1
The type of the 1th product 0th component damage type number is,1
The type of the 1th product 1th component damage type number is,3
The type of the 1th product 2th component damage type number is,3
The type of the 2th product 0th component damage type number is,1
The type of the 2th product 1th component damage type number is,1
The type of the 2th product 2th component damage type number is,3
The type of the 3th product 0th component damage type number is,1
The type of the 3th product 1th component damage type number is,2
The type of the 3th product 2th component damage type number is,2
The type of the 4th product 0th component damage type number is,1
The type of the 4th product 1th component damage type number is,1
The type of the 4th product 2th component damage type number is,1
The type of the 0th product 0th component 0th damage type combine number is,[37]
The type of the 0th product 0th component 1th damage type combine number is,[43]
The type of the 0th product 1th component 0th damage type combine number is,[65]
The type of the 0th product 2th component 0th damage type combine number is,[65]
The type of the 1th product 0th component 0th damage type combine number is,[65]
The type of the 1th product 1th component 0th damage type combine number is,[3]
The type of the 1th product 1th component 1th damage type combine number is,[21]
The type of the 1th product 1th component 2th damage type combine number is,[17]
The type of the 1th product 2th component 0th damage type combine number is,[60]
The type of the 1th product 2th component 1th damage type combine number is,[23]
The type of the 1th product 2th component 2th damage type combine number is,[9]
The type of the 2th product 0th component 0th damage type combine number is,[65]
The type of the 2th product 1th component 0th damage type combine number is,[65]
The type of the 2th product 2th component 0th damage type combine number is,[36]
The type of the 2th product 2th component 1th damage type combine number is,[42]
The type of the 2th product 2th component 2th damage type combine number is,[1]
The type of the 3th product 0th component 0th damage type combine number is,[65]
The type of the 3th product 1th component 0th damage type combine number is,[35]
The type of the 3th product 1th component 1th damage type combine number is,[60]
The type of the 3th product 2th component 0th damage type combine number is,[32]
The type of the 3th product 2th component 1th damage type combine number is,[52]
The type of the 4th product 0th component 0th damage type combine number is,[65]
The type of the 4th product 1th component 0th damage type combine number is,[65]
The type of the 4th product 2th component 0th damage type combine number is,[65]
The disassemble time of the0th product is,3
The disassemble time of the1th product is,4
The disassemble time of the2th product is,6
The disassemble time of the3th product is,11
The disassemble time of the4th product is,15
The reassemble time of the0th product is,2
The reassemble time of the1th product is,2
The reassemble time of the2th product is,8
The reassemble time of the3th product is,11
The reassemble time of the4th product is,7
The type of the 0th route combine total opertion is,"[8, 10, 3]"
The type of the 1th route combine total opertion is,"[7, 5, 1, 8]"
The type of the 2th route combine total opertion is,"[3, 6]"
The type of the 3th route combine total opertion is,"[7, 6, 1, 4]"
The type of the 4th route combine total opertion is,"[4, 1]"
The type of the 5th route combine total opertion is,"[3, 8, 10]"
The type of the 6th route combine total opertion is,"[7, 1]"
The type of the 7th route combine total opertion is,"[1, 9]"
The type of the 8th route combine total opertion is,"[8, 9]"
The type of the 9th route combine total opertion is,"[4, 7, 1, 9]"
The type of the 10th route combine total opertion is,"[1, 6, 5, 7]"
The type of the 0th product of the0th component the0th damage type can select the route is,"[[7, 6, 1, 4]]"
The type of the 0th product of the0th component the1th damage type can select the route is,"[[7, 1]]"
The type of the 0th product of the1th component the0th damage type can select the route is,"[[4, 1]]"
The type of the 0th product of the2th component the0th damage type can select the route is,"[[3, 6]]"
The type of the 1th product of the0th component the0th damage type can select the route is,"[[7, 1]]"
The type of the 1th product of the1th component the0th damage type can select the route is,"[[7, 5, 1, 8]]"
The type of the 1th product of the1th component the1th damage type can select the route is,"[[4, 7, 1, 9]]"
The type of the 1th product of the1th component the2th damage type can select the route is,"[[3, 8, 10]]"
The type of the 1th product of the2th component the0th damage type can select the route is,"[[4, 7, 1, 9]]"
The type of the 1th product of the2th component the1th damage type can select the route is,"[[4, 7, 1, 9]]"
The type of the 1th product of the2th component the2th damage type can select the route is,"[[1, 6, 5, 7]]"
The type of the 2th product of the0th component the0th damage type can select the route is,"[[7, 5, 1, 8]]"
The type of the 2th product of the1th component the0th damage type can select the route is,"[[1, 9]]"
The type of the 2th product of the2th component the0th damage type can select the route is,"[[1, 9]]"
The type of the 2th product of the2th component the1th damage type can select the route is,"[[7, 5, 1, 8]]"
The type of the 2th product of the2th component the2th damage type can select the route is,"[[1, 6, 5, 7]]"
The type of the 3th product of the0th component the0th damage type can select the route is,"[[4, 7, 1, 9]]"
The type of the 3th product of the1th component the0th damage type can select the route is,"[[1, 6, 5, 7]]"
The type of the 3th product of the1th component the1th damage type can select the route is,"[[8, 9]]"
The type of the 3th product of the2th component the0th damage type can select the route is,"[[8, 10, 3]]"
The type of the 3th product of the2th component the1th damage type can select the route is,"[[8, 10, 3]]"
The type of the 4th product of the0th component the0th damage type can select the route is,"[[1, 6, 5, 7]]"
