Product_category,5
totalroute_number,14
productnum_number,40
componentcat_number,6
disworkstationnum_number,3
reaworkstationnum_number,3
The quantity of the 0th product is,40
The quantity of the 1th product is,40
The quantity of the 2th product is,40
The quantity of the 3th product is,40
The quantity of the 4th product is,40
The type of the 0th product 0th component damage type number is,2
The type of the 0th product 1th component damage type number is,3
The type of the 0th product 2th component damage type number is,1
The type of the 0th product 3th component damage type number is,2
The type of the 0th product 4th component damage type number is,2
The type of the 0th product 5th component damage type number is,2
The type of the 1th product 0th component damage type number is,1
The type of the 1th product 1th component damage type number is,3
The type of the 1th product 2th component damage type number is,3
The type of the 1th product 3th component damage type number is,1
The type of the 1th product 4th component damage type number is,2
The type of the 1th product 5th component damage type number is,3
The type of the 2th product 0th component damage type number is,2
The type of the 2th product 1th component damage type number is,1
The type of the 2th product 2th component damage type number is,2
The type of the 2th product 3th component damage type number is,1
The type of the 2th product 4th component damage type number is,1
The type of the 2th product 5th component damage type number is,1
The type of the 3th product 0th component damage type number is,3
The type of the 3th product 1th component damage type number is,2
The type of the 3th product 2th component damage type number is,3
The type of the 3th product 3th component damage type number is,3
The type of the 3th product 4th component damage type number is,3
The type of the 3th product 5th component damage type number is,2
The type of the 4th product 0th component damage type number is,2
The type of the 4th product 1th component damage type number is,2
The type of the 4th product 2th component damage type number is,2
The type of the 4th product 3th component damage type number is,2
The type of the 4th product 4th component damage type number is,1
The type of the 4th product 5th component damage type number is,3
The type of the 0th product 0th component 0th damage type combine number is,[39]
The type of the 0th product 0th component 1th damage type combine number is,[38]
The type of the 0th product 1th component 0th damage type combine number is,[24]
The type of the 0th product 1th component 1th damage type combine number is,[12]
The type of the 0th product 1th component 2th damage type combine number is,[18]
The type of the 0th product 2th component 0th damage type combine number is,[40]
The type of the 0th product 3th component 0th damage type combine number is,[22]
The type of the 0th product 3th component 1th damage type combine number is,[27]
The type of the 0th product 4th component 0th damage type combine number is,[7]
The type of the 0th product 4th component 1th damage type combine number is,[35]
The type of the 0th product 5th component 0th damage type combine number is,[19]
The type of the 0th product 5th component 1th damage type combine number is,[15]
The type of the 1th product 0th component 0th damage type combine number is,[40]
The type of the 1th product 1th component 0th damage type combine number is,[22]
The type of the 1th product 1th component 1th damage type combine number is,[5]
The type of the 1th product 1th component 2th damage type combine number is,[19]
The type of the 1th product 2th component 0th damage type combine number is,[9]
The type of the 1th product 2th component 1th damage type combine number is,[16]
The type of the 1th product 2th component 2th damage type combine number is,[2]
The type of the 1th product 3th component 0th damage type combine number is,[40]
The type of the 1th product 4th component 0th damage type combine number is,[13]
The type of the 1th product 4th component 1th damage type combine number is,[8]
The type of the 1th product 5th component 0th damage type combine number is,[11]
The type of the 1th product 5th component 1th damage type combine number is,[1]
The type of the 1th product 5th component 2th damage type combine number is,[15]
The type of the 2th product 0th component 0th damage type combine number is,[25]
The type of the 2th product 0th component 1th damage type combine number is,[11]
The type of the 2th product 1th component 0th damage type combine number is,[40]
The type of the 2th product 2th component 0th damage type combine number is,[16]
The type of the 2th product 2th component 1th damage type combine number is,[5]
The type of the 2th product 3th component 0th damage type combine number is,[40]
The type of the 2th product 4th component 0th damage type combine number is,[40]
The type of the 2th product 5th component 0th damage type combine number is,[40]
The type of the 3th product 0th component 0th damage type combine number is,[3]
The type of the 3th product 0th component 1th damage type combine number is,[26]
The type of the 3th product 0th component 2th damage type combine number is,[33]
The type of the 3th product 1th component 0th damage type combine number is,[29]
The type of the 3th product 1th component 1th damage type combine number is,[7]
The type of the 3th product 2th component 0th damage type combine number is,[29]
The type of the 3th product 2th component 1th damage type combine number is,[21]
The type of the 3th product 2th component 2th damage type combine number is,[19]
The type of the 3th product 3th component 0th damage type combine number is,[10]
The type of the 3th product 3th component 1th damage type combine number is,[28]
The type of the 3th product 3th component 2th damage type combine number is,[23]
The type of the 3th product 4th component 0th damage type combine number is,[26]
The type of the 3th product 4th component 1th damage type combine number is,[25]
The type of the 3th product 4th component 2th damage type combine number is,[13]
The type of the 3th product 5th component 0th damage type combine number is,[32]
The type of the 3th product 5th component 1th damage type combine number is,[12]
