n;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op30;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;24000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;3;3;3;4;4;4;4;4;4;5;5;5;5;5;5;Cell
;;;1;1;1;2;2;2;5;3;4;4;4;6;7;8;8;8;13;14;9;10;10;10;11;12;15;16;16;16;17;18;Machine
Part Family;Job;Operation no;1;2;3;1;2;3;1;1;1;2;3;1;1;1;2;3;1;1;1;1;2;3;1;1;1;1;2;3;1;1;Alternative(for machine)
1;1;1;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;3;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;
1;1;4;;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;1;;;;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;2;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;;;;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;1;;;;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;
1;5;2;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;3;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;4;;;;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;
1;7;1;;;;;;;;;5;5;5;;;;;;;;;;;;;;;;;;;;
1;7;2;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7;3;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
1;8;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;2;;;;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;3;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
2;3;1;;;;;;;;;4;4;4;;;;;;;;;;;;;;;;;;;;
2;3;2;;;;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;
2;3;3;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
2;4;1;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;
2;4;2;;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;
2;4;3;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;
2;6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;2;;;;;;;;;7;7;7;;;;;;;;;;;;;;;;;;;;
2;6;3;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;
2;6;4;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;1;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;
2;10;2;;;;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;3;;;;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;
2;11;1;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
2;11;2;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;
2;11;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
2;11;4;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;
2;22;1;;;;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;
2;22;2;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;
2;22;3;;;;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;
2;22;4;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;
3;25;1;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
3;25;2;;;;;;;;;;;;;;4;4;4;;;;;;;;;;;;;;;
3;25;3;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;
3;25;4;;;;;;;;;;;;;;4;4;4;;;;;;;;;;;;;;;
3;26;1;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;
3;26;2;;;;;;;;;;;;;;5;5;5;;;;;;;;;;;;;;;
3;26;3;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
3;26;4;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
3;28;1;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;;;
3;28;2;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;
3;28;3;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;
3;28;4;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;
3;29;1;;;;;;;;;;;;;;6;6;6;;;;;;;;;;;;;;;
3;29;2;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
3;29;3;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;
3;29;4;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
3;47;1;;;;;;;;;;;;;;;;;;;;3;3;3;;;;;;;;;
3;47;2;;;;;;;;;;;;;;8;8;8;;;;;;;;;;;;;;;
3;47;3;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;
