n;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op32;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;Cell
;;;1;1;1;2;5;19;19;19;3;4;4;4;6;6;6;20;7;8;8;8;13;14;14;14;9;9;9;10;11;11;11;12;15;16;16;16;17;17;17;18;Machine
Part Family;Job;Operation no;1;2;3;1;1;1;2;3;1;1;2;3;1;2;3;1;1;1;2;3;1;1;2;3;1;2;3;1;1;2;3;1;1;1;2;3;1;2;3;1;Alternative(for machine)
1;8;1;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;2;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;3;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;1;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;2;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
