n;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op33;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;5;5;5;5;5;Cell
;;;1;1;2;5;19;3;4;6;6;6;6;6;20;7;8;8;8;8;8;8;13;14;14;14;14;14;14;14;9;10;11;11;11;11;12;15;16;17;17;18;Machine
Part Family;Job;Operation no;1;2;1;1;1;1;1;1;2;3;4;5;1;1;1;2;3;4;5;6;1;1;2;3;4;5;6;7;1;1;1;2;3;4;1;1;1;1;2;1;Alternative(for machine)
1;8;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;2;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;3;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;2;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;4;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;39;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;39;2;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;39;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;39;4;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;2;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;3;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;4;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;44;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;44;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;
1;44;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;44;4;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;31;1;;;;;;;;;;;;;;;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;
2;31;2;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;31;3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;31;4;;;;;;;;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;41;1;;;;;;;;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;41;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;41;3;;;;;;;;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;41;4;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;42;1;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;42;2;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;42;3;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;42;4;;;;;;;;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;43;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;43;2;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;43;3;;;;;;;;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;43;4;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;12;1;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;12;2;;;;;;;;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;12;3;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
