n;40;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;25;;;;;;;;;;;;;;;;;;;;;;;;;;;
op40;138;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;149;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;1568;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;59;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;34500;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;2;2;2;3;3;3;4;4;4;4;4;5;5;5;5;6;6;6;6;6;6;Cell
;;;1;1;2;2;3;4;4;7;8;14;9;9;10;10;11;15;16;17;18;23;24;25;26;27;28;Machine
Part Family;Job;Operation no;1;2;1;2;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;Alternative(for machine)
1;1;1;4;4;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;;;5;5;;;;;;;;;;;;;;;;;;;;;;
1;1;3;;;;;6;;;;;;;;;;;;;;;;;;;;;
1;1;4;;;5;5;;;;;;;;;;;;;;;;;;;;;;
1;2;1;;;4;4;;;;;;;;;;;;;;;;;;;;;;
1;2;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;;;4;4;;;;;;;;;;;;;;;;;;;;;;
1;5;1;;;;;;3;3;;;;;;;;;;;;;;;;;;;
1;5;2;;;2;2;;;;;;;;;;;;;;;;;;;;;;
1;5;3;6;6;;;;;;;;;;;;;;;;;;;;;;;;
1;5;4;;;;;;3;3;;;;;;;;;;;;;;;;;;;
1;9;1;;;5;5;;;;;;;;;;;;;;;;;;;;;;
1;9;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;
1;9;3;;;5;5;;;;;;;;;;;;;;;;;;;;;;
1;69;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;
1;69;2;;;5;5;;;;;;;;;;;;;;;;;;;;;;
1;69;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;
1;69;4;;;5;5;;;;;;;;;;;;;;;;;;;;;;
1;70;1;4;4;;;;;;;;;;;;;;;;;;;;;;;;
1;70;2;;;7;7;;;;;;;;;;;;;;;;;;;;;;
1;70;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;
1;71;1;;;;;;;;;3;;;;;;;;;;;;;;;;;
1;71;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;
1;71;3;8;8;;;;;;;;;;;;;;;;;;;;;;;;
1;71;4;;;1;1;;;;;;;;;;;;;;;;;;;;;;
1;72;1;9;9;;;;;;;;;;;;;;;;;;;;;;;;
1;72;2;;;;;;;;;;;2;2;;;;;;;;;;;;;;
1;72;3;;;8;8;;;;;;;;;;;;;;;;;;;;;;
2;3;1;;;;;;4;4;;;;;;;;;;;;;;;;;;;
2;3;2;;;7;7;;;;;;;;;;;;;;;;;;;;;;
2;3;3;;;;;2;;;;;;;;;;;;;;;;;;;;;
2;4;1;;;;;6;;;;;;;;;;;;;;;;;;;;;
2;4;2;;;;;;2;2;;;;;;;;;;;;;;;;;;;
2;4;3;;;;;6;;;;;;;;;;;;;;;;;;;;;
2;6;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;
2;6;2;;;;;;7;7;;;;;;;;;;;;;;;;;;;
2;6;3;;;;;5;;;;;;;;;;;;;;;;;;;;;
2;6;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;
2;10;1;;;;;9;;;;;;;;;;;;;;;;;;;;;
2;10;2;;;7;7;;;;;;;;;;;;;;;;;;;;;;
2;10;3;;;;;;3;3;;;;;;;;;;;;;;;;;;;
2;22;1;;;;;;3;3;;;;;;;;;;;;;;;;;;;
2;22;2;;;;;8;;;;;;;;;;;;;;;;;;;;;
2;22;3;;;;;;3;3;;;;;;;;;;;;;;;;;;;
2;22;4;;;;;8;;;;;;;;;;;;;;;;;;;;;
2;23;1;;;;;;7;7;;;;;;;;;;;;;;;;;;;
2;73;1;;;;;;5;5;;;;;;;;;;;;;;;;;;;
2;73;2;;;;;2;;;;;;;;;;;;;;;;;;;;;
3;15;1;;;;;;;;;2;;;;;;;;;;;;;;;;;
3;15;2;;;;;;;;4;;;;;;;;;;;;;;;;;;
3;15;3;;;;;;1;1;;;;;;;;;;;;;;;;;;;
3;16;1;;;;;;;;5;;;;;;;;;;;;;;;;;;
3;16;2;;;2;2;;;;;;;;;;;;;;;;;;;;;;
3;16;3;;;;;;;;;3;;;;;;;;;;;;;;;;;
3;16;4;;;2;2;;;;;;;;;;;;;;;;;;;;;;
3;17;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;
3;17;2;;;;;;;;1;;;;;;;;;;;;;;;;;;
3;17;3;;;;;;;;;2;;;;;;;;;;;;;;;;;
3;47;1;;;;;;;;;;;;;3;3;;;;;;;;;;;;
3;47;2;;;;;;;;;8;;;;;;;;;;;;;;;;;
3;47;3;;;;;;;;;;7;;;;;;;;;;;;;;;;
3;47;4;;;;;;;;;;;;;3;3;;;;;;;;;;;;
3;48;1;;;;;;;;;1;;;;;;;;;;;;;;;;;
3;48;2;;;;;;;;4;;;;;;;;;;;;;;;;;;
3;48;3;;;;;;;;;;3;;;;;;;;;;;;;;;;
3;30;1;;;;;;;;;;6;;;;;;;;;;;;;;;;
3;30;2;;;;;;;;;3;;;;;;;;;;;;;;;;;
3;30;3;;;;;;;;5;;;;;;;;;;;;;;;;;;
3;30;4;;;;;;;;;3;;;;;;;;;;;;;;;;;
4;18;1;;;;;;;;;;;;;6;6;;;;;;;;;;;;
4;18;2;;;;;;;;;;;4;4;;;;;;;;;;;;;;
4;24;1;;;;;;;;;;;7;7;;;;;;;;;;;;;;
4;24;2;;;;;;;;;;;;;4;4;;;;;;;;;;;;
4;24;3;;;;;;;;;;;7;7;;;;;;;;;;;;;;
4;33;1;;;;;;;;;;;;;;;3;;;;;;;;;;;
4;33;2;;;;;;;;;;;6;6;;;;;;;;;;;;;;
4;33;3;;;;;;;;;;;;;5;5;;;;;;;;;;;;
4;33;4;;;;;;;;;;;6;6;;;;;;;;;;;;;;
4;46;1;;;;;;;;;;;;;;;;;3;;;;;;;;;
4;46;2;;;;;;;;;;;;;7;7;;;;;;;;;;;;
4;46;3;;;;;;;;;;;;;;;2;;;;;;;;;;;
4;19;1;;;;;;;;;;;3;3;;;;;;;;;;;;;;
4;19;2;;;;;;;;6;;;;;;;;;;;;;;;;;;
4;19;3;;;;;;;;;;;;;2;2;;;;;;;;;;;;
4;67;1;;;;;;;;;;;5;5;;;;;;;;;;;;;;
4;67;2;;;;;;;;;;;;;;;3;;;;;;;;;;;
4;67;3;;;;;;;;;;;;;4;4;;;;;;;;;;;;
4;67;4;;;;;;;;;;;5;5;;;;;;;;;;;;;;
4;68;1;;;;;;;;;;;;;;;1;;;;;;;;;;;
4;68;2;;;;;;;;;;;;;8;8;;;;;;;;;;;;
4;68;3;;;;;;;;;;;7;7;;;;;;;;;;;;;;
4;68;4;;;;;;;;;;;;;8;8;;;;;;;;;;;;
5;45;1;;;;;;;;;;;;;;;;2;;;;;;;;;;
5;45;2;;;;;;;;;;;;;;;4;;;;;;;;;;;
5;45;3;;;;;;;;;;;;;;;;;;;8;;;;;;;
5;45;4;;;;;;;;;;;;;;;;;;6;;;;;;;;
5;34;1;;;;;;;;;;;;;;;;;2;;;;;;;;;
5;34;2;;;;;;;;;;;;;;;;6;;;;;;;;;;
5;34;3;;;;;;;;;;;;;;;;;;;3;;;;;;;
5;34;4;;;;;;;;;;;;;;;;;;1;;;;;;;;
5;35;1;;;;;;;;;;;;;;;;;;3;;;;;;;;
5;35;2;;;;;;;;;;;;;;;;;5;;;;;;;;;
5;35;3;;;;;;;;;;;;;;;;;;;7;;;;;;;
5;36;1;;;;;;;;;;;;;;;;;6;;;;;;;;;
5;36;2;;;;;;;;;;;;;;;;;;2;;;;;;;;
5;36;3;;;;;;;;;;;;;;;;;6;;;;;;;;;
5;36;4;;;;;;;;;;;;;;;;4;;;;;;;;;;
5;37;1;;;;;;;;;;;;;;;;5;;;;;;;;;;
5;37;2;;;;;;;;;;;;;;;;;;3;;;;;;;;
5;37;3;;;;;;;;;;;;;;;;;1;;;;;;;;;
5;37;4;;;;;;;;;;;;;;;;;;;6;;;;;;;
6;60;1;;;;;;;;;;;;;;;;;;;;;;4;;;;
6;60;2;;;;;;;;;;;;;;;;;;;;;;;;6;;
6;60;3;;;;;;;;;;;;;;;;;;;;;5;;;;;
6;60;4;;;;;;;;;;;;;;;;;;;;;;;8;;;
6;61;1;;;;;;;;;;;;;;;;;;;;4;;;;;;
