n;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op24;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;17500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;4;4;4;4;4;4;4;4;4;Cell
;;;1;2;2;2;2;2;2;5;3;4;4;4;4;4;4;6;7;8;9;10;11;11;11;11;11;11;12;Machine
Part Family;Job;Operation no;1;1;2;3;4;5;6;1;1;1;2;3;4;5;6;1;1;1;1;1;1;2;3;4;5;6;1;Alternative(for machine)
1;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;
1;1;3;;;;;;;;;6;;;;;;;;;;;;;;;;;;;
1;1;4;;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;
1;2;1;;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;
1;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;
1;5;1;;;;;;;;;;3;3;3;3;3;3;;;;;;;;;;;;;
1;5;2;;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
1;5;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;4;;;;;;;;;;3;3;3;3;3;3;;;;;;;;;;;;;
1;7;1;;;;;;;;;;5;5;5;5;5;5;;;;;;;;;;;;;
1;7;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7;3;;;;;;;;5;;;;;;;;;;;;;;;;;;;;
1;8;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;2;;9;9;9;9;9;9;;;;;;;;;;;;;;;;;;;;;
