,n,22,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op24,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Cell
11,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,Alternative(for machine)
13,1,1,1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,2,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
15,1,1,3,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
16,1,1,4,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
17,1,2,1,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
18,1,2,2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,2,3,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
20,1,5,1,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
21,1,5,2,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
22,1,5,3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,5,4,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
24,1,7,1,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,
25,1,7,2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,7,3,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
