n;12;;;;;;;;;;;;;;
L;4;;;;;;;;;;;;;;
C;4;;;;;;;;;;;;;;
m;12;;;;;;;;;;;;;;
op18;38;;;;;;;;;;;;;;
N_Cmax;91;;;;;;;;;;;;;;
N_TT;338;;;;;;;;;;;;;;
I_Cmax;35;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;
MaxFES;9500;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;1;1;1;1;2;2;2;2;3;3;4;4;Cell
;;;1;2;2;5;3;4;4;6;7;8;9;10;Machine
Part Family;Job;Operation no;1;1;2;1;1;1;2;1;1;1;1;1;Alternative(for machine)
1;2;1;;4;4;;;;;;;;;;
1;2;2;3;;;;;;;;;;;;
1;2;3;;4;4;;;;;;;;;;
1;7;1;;;;;;5;5;;;;;;
1;7;2;6;;;;;;;;;;;;
1;7;3;;;;5;;;;;;;;;
1;8;1;3;;;;;;;;;;;;
1;8;2;;9;9;;;;;;;;;;
1;8;3;;;;4;;;;;;;;;
2;10;1;;;;;9;;;;;;;;
2;10;2;;7;7;;;;;;;;;;
2;10;3;;;;;;3;3;;;;;;
2;11;1;;;;;;;;3;;;;;
2;11;2;;;;;5;;;;;;;;
2;11;3;;;;;;;;3;;;;;
2;11;4;;;;;5;;;;;;;;
2;12;1;;;;;;4;4;;;;;;
2;12;2;;;;;;;;5;;;;;
2;12;3;;;;;;4;4;;;;;;
2;22;1;;;;;;3;3;;;;;;
2;22;2;;;;;8;;;;;;;;
2;22;3;;;;;;3;3;;;;;;
2;22;4;;;;;8;;;;;;;;
3;15;1;;;;;;;;;;2;;;
3;15;2;;;;;;;;;4;;;;
3;15;3;;;;;;1;1;;;;;;
3;16;1;;;;;;;;;5;;;;
3;16;2;;2;2;;;;;;;;;;
3;16;3;;;;;;;;;;3;;;
3;16;4;;2;2;;;;;;;;;;
3;17;1;;;;;;1;1;;;;;;
3;17;2;;;;;;;;;1;;;;
3;17;3;;;;;;;;;;2;;;
4;18;1;;;;;;;;;;;;6;
4;18;2;;;;;;;;;;;4;;
4;24;1;;;;;;;;;;;7;;
4;24;2;;;;;;;;;;;;4;
4;24;3;;;;;;;;;;;7;;
;;;;;;;;;;;;;;;
Part Family;Part Family;Setup Time;;;;;;;;;;;;;
1;1;0;;;;;;;;;;;;;
1;2;3;;;;;;;;;;;;;
1;3;7;;;;;;;;;;;;;
1;4;4;;;;;;;;;;;;;
2;1;4;;;;;;;;;;;;;
2;2;0;;;;;;;;;;;;;
2;3;4;;;;;;;;;;;;;
2;4;2;;;;;;;;;;;;;
3;1;6;;;;;;;;;;;;;
3;2;5;;;;;;;;;;;;;
3;3;0;;;;;;;;;;;;;
3;4;5;;;;;;;;;;;;;
4;1;7;;;;;;;;;;;;;
4;2;5;;;;;;;;;;;;;
4;3;2;;;;;;;;;;;;;
4;4;0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Cell;Cell;Transportation Time;;;;;;;;;;;;;
1;1;0;;;;;;;;;;;;;
1;2;3;;;;;;;;;;;;;
1;3;5;;;;;;;;;;;;;
1;4;4;;;;;;;;;;;;;
2;1;4;;;;;;;;;;;;;
2;2;0;;;;;;;;;;;;;
2;3;8;;;;;;;;;;;;;
2;4;5;;;;;;;;;;;;;
3;1;6;;;;;;;;;;;;;
3;2;5;;;;;;;;;;;;;
3;3;0;;;;;;;;;;;;;
3;4;3;;;;;;;;;;;;;
4;1;5;;;;;;;;;;;;;
4;2;4;;;;;;;;;;;;;
4;3;3;;;;;;;;;;;;;
4;4;0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Job;Due Date;;;;;;;;;;;;;;
2;77;;;;;;;;;;;;;;
7;5;;;;;;;;;;;;;;
8;110;;;;;;;;;;;;;;
10;8;;;;;;;;;;;;;;
11;53;;;;;;;;;;;;;;
12;21;;;;;;;;;;;;;;
22;11;;;;;;;;;;;;;;
15;103;;;;;;;;;;;;;;
16;4;;;;;;;;;;;;;;
17;13;;;;;;;;;;;;;;
18;67;;;;;;;;;;;;;;
24;89;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No;Reference_point1;Reference_point2;;;;;;;;;;;;;
1;38;80;;;;;;;;;;;;;
2;41;114;;;;;;;;;;;;;
3;44;97;;;;;;;;;;;;;
4;39;123;;;;;;;;;;;;;
5;36;107;;;;;;;;;;;;;
6;35;87;;;;;;;;;;;;;
7;39;125;;;;;;;;;;;;;
8;44;108;;;;;;;;;;;;;
9;38;106;;;;;;;;;;;;;
10;44;110;;;;;;;;;;;;;
11;48;79;;;;;;;;;;;;;
12;37;94;;;;;;;;;;;;;
