,n,4,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,L,2,,,,,,,,,
1,C,2,,,,,,,,,
2,m,7,,,,,,,,,
3,op3,13,,,,,,,,,
4,N_Cmax,30,,,,,,,,,
5,N_TT,27,,,,,,,,,
6,I_Cmax,16,,,,,,,,,
7,I_TT,0,,,,,,,,,
8,MaxFES,3000,,,,,,,,,
9,,,,,,,,,,,
10,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,Cell
11,,,,1.0,2.0,2.0,3.0,3.0,4.0,6.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,2.0,1.0,1.0,Alternative(for machine)
13,1,2,1,,4.0,4.0,,,,,
14,1,2,2,3.0,,,,,,,
15,1,2,3,,4.0,4.0,,,,,
16,1,9,1,,5.0,5.0,,,,,
17,1,9,2,4.0,,,,,,,
18,1,9,3,,5.0,5.0,,,,,
19,2,4,1,,,,6.0,6.0,,,
20,2,4,2,,,,,,2.0,,
21,2,4,3,,,,6.0,6.0,,,
22,2,11,1,,,,,,,3.0,
23,2,11,2,,,,5.0,5.0,,,
24,2,11,3,,,,,,,3.0,
25,2,11,4,,,,5.0,5.0,,,
26,,,,,,,,,,,
27,Part Family,Part Family,Setup Time,,,,,,,,
28,1,1,0,,,,,,,,
29,1,2,3,,,,,,,,
30,2,1,4,,,,,,,,
31,2,2,0,,,,,,,,
32,,,,,,,,,,,
33,Cell,Cell,Transportation Time,,,,,,,,
34,1,1,0,,,,,,,,
35,1,2,3,,,,,,,,
36,2,1,4,,,,,,,,
37,2,2,0,,,,,,,,
38,,,,,,,,,,,
39,Job,Due Date,,,,,,,,,
40,2,77,,,,,,,,,
41,9,50,,,,,,,,,
42,4,3,,,,,,,,,
43,11,53,,,,,,,,,
44,,,,,,,,,,,
45,No,Reference_point1,Reference_point2,,,,,,,,
46,1,18,11,,,,,,,,
47,2,21,11,,,,,,,,
48,3,23,11,,,,,,,,
49,4,20,11,,,,,,,,
50,5,17,11,,,,,,,,
51,6,16,11,,,,,,,,
52,7,19,11,,,,,,,,
53,8,24,11,,,,,,,,
54,9,19,11,,,,,,,,
55,10,24,11,,,,,,,,
56,11,27,11,,,,,,,,
57,12,17,11,,,,,,,,
58,13,25,11,,,,,,,,
59,14,25,11,,,,,,,,
60,15,25,11,,,,,,,,
61,16,22,11,,,,,,,,
62,17,24,11,,,,,,,,
63,18,27,11,,,,,,,,
64,19,26,11,,,,,,,,
65,20,22,11,,,,,,,,
66,21,19,11,,,,,,,,
67,22,24,11,,,,,,,,
68,23,21,11,,,,,,,,
69,24,24,11,,,,,,,,
70,25,18,11,,,,,,,,
71,26,22,11,,,,,,,,
72,27,20,11,,,,,,,,
73,28,20,11,,,,,,,,
74,29,27,11,,,,,,,,
75,30,27,11,,,,,,,,
76,31,23,11,,,,,,,,
77,32,17,11,,,,,,,,
78,33,17,11,,,,,,,,
79,34,22,11,,,,,,,,
80,35,27,11,,,,,,,,
81,36,25,11,,,,,,,,
82,37,17,11,,,,,,,,
83,38,21,11,,,,,,,,
84,39,20,11,,,,,,,,
85,40,27,11,,,,,,,,
86,41,21,11,,,,,,,,
87,42,16,11,,,,,,,,
88,43,20,11,,,,,,,,
89,44,20,11,,,,,,,,
90,45,23,11,,,,,,,,
91,46,26,11,,,,,,,,
92,47,17,11,,,,,,,,
93,48,26,11,,,,,,,,
94,49,26,11,,,,,,,,
95,50,19,11,,,,,,,,
96,51,17,11,,,,,,,,
97,52,21,11,,,,,,,,
98,53,22,11,,,,,,,,
99,54,16,11,,,,,,,,
100,55,19,11,,,,,,,,
101,56,25,11,,,,,,,,
102,57,17,11,,,,,,,,
103,58,27,11,,,,,,,,
104,59,27,11,,,,,,,,
105,60,26,11,,,,,,,,
106,61,27,11,,,,,,,,
107,62,24,11,,,,,,,,
108,63,16,11,,,,,,,,
109,64,17,11,,,,,,,,
110,65,19,11,,,,,,,,
111,66,16,11,,,,,,,,
112,67,21,11,,,,,,,,
113,68,27,11,,,,,,,,
114,69,26,11,,,,,,,,
115,70,26,11,,,,,,,,
116,71,19,11,,,,,,,,
117,72,24,11,,,,,,,,
118,73,17,11,,,,,,,,
119,74,23,11,,,,,,,,
120,75,16,11,,,,,,,,
121,76,18,11,,,,,,,,
122,77,23,11,,,,,,,,
123,78,18,11,,,,,,,,
124,79,24,11,,,,,,,,
125,80,20,11,,,,,,,,
126,81,18,11,,,,,,,,
127,82,26,11,,,,,,,,
128,83,20,11,,,,,,,,
129,84,24,11,,,,,,,,
130,85,26,11,,,,,,,,
131,86,21,11,,,,,,,,
132,87,24,11,,,,,,,,
133,88,20,11,,,,,,,,
134,89,25,11,,,,,,,,
135,90,16,11,,,,,,,,
136,91,20,11,,,,,,,,
137,92,16,11,,,,,,,,
138,93,27,11,,,,,,,,
139,94,19,11,,,,,,,,
140,95,23,11,,,,,,,,
141,96,21,11,,,,,,,,
142,97,20,11,,,,,,,,
143,98,26,11,,,,,,,,
144,99,19,11,,,,,,,,
145,100,25,11,,,,,,,,
146,101,27,11,,,,,,,,
147,102,20,11,,,,,,,,
148,103,17,11,,,,,,,,
149,104,21,11,,,,,,,,
150,105,18,11,,,,,,,,
151,106,25,11,,,,,,,,
152,107,18,11,,,,,,,,
153,108,17,11,,,,,,,,
154,109,27,11,,,,,,,,
155,110,17,11,,,,,,,,
156,111,22,11,,,,,,,,
157,112,24,11,,,,,,,,
158,113,21,11,,,,,,,,
159,114,27,11,,,,,,,,
160,115,27,11,,,,,,,,
161,116,20,11,,,,,,,,
162,117,24,11,,,,,,,,
163,118,20,11,,,,,,,,
164,119,22,11,,,,,,,,
165,120,23,11,,,,,,,,
166,121,20,11,,,,,,,,
167,122,23,11,,,,,,,,
168,123,23,11,,,,,,,,
169,124,19,11,,,,,,,,
170,125,18,11,,,,,,,,
171,126,20,11,,,,,,,,
172,127,23,11,,,,,,,,
173,128,24,11,,,,,,,,
174,129,23,11,,,,,,,,
175,130,24,11,,,,,,,,
176,131,16,11,,,,,,,,
177,132,26,11,,,,,,,,
178,133,16,11,,,,,,,,
179,134,21,11,,,,,,,,
180,135,23,11,,,,,,,,
181,136,25,11,,,,,,,,
182,137,22,11,,,,,,,,
183,138,17,11,,,,,,,,
184,139,18,11,,,,,,,,
185,140,25,11,,,,,,,,
186,141,23,11,,,,,,,,
187,142,17,11,,,,,,,,
188,143,24,11,,,,,,,,
189,144,22,11,,,,,,,,
190,145,17,11,,,,,,,,
191,146,20,11,,,,,,,,
192,147,18,11,,,,,,,,
193,148,16,11,,,,,,,,
194,149,22,11,,,,,,,,
195,150,18,11,,,,,,,,
196,151,25,11,,,,,,,,
197,152,24,11,,,,,,,,
198,153,25,11,,,,,,,,
199,154,23,11,,,,,,,,
200,155,18,11,,,,,,,,
201,156,27,11,,,,,,,,
202,157,17,11,,,,,,,,
203,158,22,11,,,,,,,,
204,159,27,11,,,,,,,,
205,160,21,11,,,,,,,,
206,161,17,11,,,,,,,,
207,162,19,11,,,,,,,,
208,163,24,11,,,,,,,,
209,164,26,11,,,,,,,,
210,165,17,11,,,,,,,,
211,166,21,11,,,,,,,,
212,167,19,11,,,,,,,,
213,168,20,11,,,,,,,,
214,169,27,11,,,,,,,,
215,170,21,11,,,,,,,,
216,171,22,11,,,,,,,,
217,172,17,11,,,,,,,,
218,173,18,11,,,,,,,,
219,174,21,11,,,,,,,,
220,175,27,11,,,,,,,,
221,176,19,11,,,,,,,,
222,177,16,11,,,,,,,,
223,178,25,11,,,,,,,,
224,179,22,11,,,,,,,,
225,180,21,11,,,,,,,,
226,181,21,11,,,,,,,,
227,182,20,11,,,,,,,,
228,183,18,11,,,,,,,,
229,184,26,11,,,,,,,,
230,185,17,11,,,,,,,,
231,186,21,11,,,,,,,,
232,187,17,11,,,,,,,,
233,188,18,11,,,,,,,,
234,189,27,11,,,,,,,,
235,190,18,11,,,,,,,,
236,191,24,11,,,,,,,,
237,192,17,11,,,,,,,,
238,193,23,11,,,,,,,,
239,194,24,11,,,,,,,,
240,195,17,11,,,,,,,,
241,196,18,11,,,,,,,,
242,197,22,11,,,,,,,,
243,198,27,11,,,,,,,,
244,199,23,11,,,,,,,,
245,200,17,11,,,,,,,,
246,201,19,11,,,,,,,,
247,202,21,11,,,,,,,,
248,203,17,11,,,,,,,,
249,204,27,11,,,,,,,,
250,205,17,11,,,,,,,,
251,206,23,11,,,,,,,,
252,207,16,11,,,,,,,,
253,208,26,11,,,,,,,,
254,209,22,11,,,,,,,,
255,210,25,11,,,,,,,,
256,211,23,11,,,,,,,,
257,212,17,11,,,,,,,,
258,213,22,11,,,,,,,,
259,214,21,11,,,,,,,,
260,215,18,11,,,,,,,,
261,216,22,11,,,,,,,,
262,217,25,11,,,,,,,,
263,218,17,11,,,,,,,,
264,219,25,11,,,,,,,,
265,220,19,11,,,,,,,,
266,221,22,11,,,,,,,,
267,222,25,11,,,,,,,,
268,223,17,11,,,,,,,,
269,224,23,11,,,,,,,,
270,225,27,11,,,,,,,,
271,226,21,11,,,,,,,,
272,227,16,11,,,,,,,,
273,228,20,11,,,,,,,,
274,229,17,11,,,,,,,,
275,230,24,11,,,,,,,,
276,231,25,11,,,,,,,,
277,232,24,11,,,,,,,,
278,233,17,11,,,,,,,,
279,234,26,11,,,,,,,,
280,235,26,11,,,,,,,,
281,236,20,11,,,,,,,,
282,237,23,11,,,,,,,,
283,238,18,11,,,,,,,,
284,239,18,11,,,,,,,,
285,240,19,11,,,,,,,,
286,241,17,11,,,,,,,,
287,242,19,11,,,,,,,,
288,243,25,11,,,,,,,,
289,244,18,11,,,,,,,,
290,245,26,11,,,,,,,,
291,246,21,11,,,,,,,,
292,247,18,11,,,,,,,,
293,248,22,11,,,,,,,,
294,249,16,11,,,,,,,,
295,250,19,11,,,,,,,,
296,251,24,11,,,,,,,,
297,252,24,11,,,,,,,,
298,253,21,11,,,,,,,,
299,254,16,11,,,,,,,,
300,255,17,11,,,,,,,,
301,256,17,11,,,,,,,,
302,257,25,11,,,,,,,,
303,258,19,11,,,,,,,,
304,259,21,11,,,,,,,,
305,260,17,11,,,,,,,,
306,261,19,11,,,,,,,,
307,262,26,11,,,,,,,,
308,263,27,11,,,,,,,,
309,264,21,11,,,,,,,,
310,265,27,11,,,,,,,,
311,266,24,11,,,,,,,,
312,267,21,11,,,,,,,,
313,268,18,11,,,,,,,,
314,269,18,11,,,,,,,,
315,270,27,11,,,,,,,,
316,271,25,11,,,,,,,,
317,272,19,11,,,,,,,,
318,273,24,11,,,,,,,,
319,274,27,11,,,,,,,,
320,275,24,11,,,,,,,,
321,276,20,11,,,,,,,,
322,277,24,11,,,,,,,,
323,278,20,11,,,,,,,,
324,279,16,11,,,,,,,,
325,280,23,11,,,,,,,,
326,281,20,11,,,,,,,,
327,282,23,11,,,,,,,,
328,283,25,11,,,,,,,,
329,284,27,11,,,,,,,,
330,285,22,11,,,,,,,,
331,286,23,11,,,,,,,,
332,287,20,11,,,,,,,,
333,288,22,11,,,,,,,,
334,289,17,11,,,,,,,,
335,290,19,11,,,,,,,,
336,291,24,11,,,,,,,,
337,292,27,11,,,,,,,,
338,293,16,11,,,,,,,,
339,294,24,11,,,,,,,,
340,295,19,11,,,,,,,,
341,296,18,11,,,,,,,,
342,297,16,11,,,,,,,,
