n;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op29;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;21500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;5;5;5;5;Cell
;;;1;2;2;2;2;2;2;2;3;4;4;4;4;4;4;4;7;8;8;8;8;8;8;8;14;9;10;10;10;10;10;10;10;11;15;16;17;18;Machine
Part Family;Job;Operation no;1;1;2;3;4;5;6;7;1;1;2;3;4;5;6;7;1;1;2;3;4;5;6;7;1;1;1;2;3;4;5;6;7;1;1;1;1;1;Alternative(for machine)
1;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;3;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;4;;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;1;;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;1;;;;;;;;;;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
1;5;2;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;4;;;;;;;;;;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
1;9;1;;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;9;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;9;3;;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3;1;;;;;;;;;;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;
2;3;2;;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3;3;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4;1;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4;2;;;;;;;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
2;4;3;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;2;;;;;;;;;;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;
2;6;3;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;1;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;2;;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;3;;;;;;;;;;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
2;22;1;;;;;;;;;;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
2;22;2;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;22;3;;;;;;;;;;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
2;22;4;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;23;1;;;;;;;;;;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;
3;15;1;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;
3;15;2;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;
3;15;3;;;;;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
3;16;1;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;
3;16;2;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;16;3;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;;;;;;;;;;;;;;;
3;16;4;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;17;1;;;;;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
