n;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op41;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;1422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;39000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;2;2;2;3;3;3;3;3;4;4;4;4;4;4;5;5;5;5;6;6;6;6;6;6;Cell
;;;1;1;2;2;3;4;4;7;8;8;13;14;9;9;10;10;11;12;15;16;17;18;23;24;25;26;27;28;Machine
Part Family;Job;Operation no;1;2;1;2;1;1;2;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;Alternative(for machine)
1;1;1;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;3;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
1;1;4;;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;1;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;1;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;
1;5;2;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;3;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;4;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;
1;9;1;;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;9;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;9;3;;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;69;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;69;2;;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;69;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;69;4;;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;70;1;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;70;2;;;7;7;;;;;;;;;;;;;;;;;;;;;;;;;
1;70;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
