n;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op43;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;4450,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;58430,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;1671,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;67000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Cell
;;;6;6;6;6;9;10;11;11;12;5;5;7;7;7;7;7;7;7;2;2;2;2;2;2;2;1;1;1;1;1;1;3;3;4;4;4;4;8;8;8;8;Machine
Part Family;Job;Operation no;1;2;3;4;1;1;1;2;1;1;2;1;2;3;4;5;6;7;1;2;3;4;5;6;7;1;2;3;4;5;6;1;2;1;2;3;4;1;2;3;4;Alternative(for machine)
1;38;1;;;;;;;;;;0,15;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,1;3,1;3,1;3,1;
1;38;3;;;;;;2,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,15;6,15;6,15;6,15;
1;38;5;;;;;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,13;1,13;1,13;1,13;;;;;
2;4;1;;;;;;;;;;1,15;1,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4;2;;;;;;;;;;;;9,38;9,38;9,38;9,38;9,38;9,38;9,38;;;;;;;;;;;;;;;;;;;;;;;;
2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;5,25;5,25;5,25;5,25;5,25;5,25;;;;;;;;;;;
2;4;4;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;;;;;
2;5;1;;;;;;;;;;1,31;1,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5;2;;;;;;;;;;;;5,06;5,06;5,06;5,06;5,06;5,06;5,06;;;;;;;;;;;;;;;;;;;;;;;;
2;5;3;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;1;;;;;;;;;;1,31;1,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;6;2;;;;;;;;;;;;5,06;5,06;5,06;5,06;5,06;5,06;5,06;;;;;;;;;;;;;;;;;;;;;;;;
2;6;3;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7;1;;;;;;;;;;0,19;0,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7;2;;;;;;;;;;;;3,38;3,38;3,38;3,38;3,38;3,38;3,38;;;;;;;;;;;;;;;;;;;;;;;;
2;7;3;;;;;0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;9;1;;;;;;;;;;1,15;1,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
