n;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
m;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
op42;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_Cmax;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N_TT;1942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_Cmax;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I_TT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MaxFES;43500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;1;1;1;1;1;1;2;2;2;3;3;3;3;4;4;4;4;4;4;5;5;5;5;6;6;6;6;6;6;Cell
;;;1;1;2;2;2;5;19;3;4;4;7;8;13;14;9;9;10;10;11;12;15;16;17;18;23;24;25;26;27;28;Machine
Part Family;Job;Operation no;1;2;1;2;3;1;1;1;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;Alternative(for machine)
1;1;1;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;3;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;
1;1;4;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;1;;;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;;;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;1;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;
1;5;2;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;3;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;4;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;
1;7;1;;;;;;;;;5;5;;;;;;;;;;;;;;;;;;;;;
1;7;2;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7;3;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;2;;;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
1;9;1;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;9;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;9;3;;;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;1;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
1;38;2;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
1;38;3;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;
