n;9;;;;;;;;;;;
L;3;;;;;;;;;;;
C;3;;;;;;;;;;;
m;9;;;;;;;;;;;
op12;30;;;;;;;;;;;
N_Cmax;110;;;;;;;;;;;
N_TT;313;;;;;;;;;;;
I_Cmax;34;;;;;;;;;;;
I_TT;0;;;;;;;;;;;
MaxFES;7500;;;;;;;;;;;
;;;;;;;;;;;;
;;;1;1;1;1;2;2;2;3;3;Cell
;;;1;2;2;5;3;4;4;7;8;Machine
Part Family;Job;Operation no;1;1;2;1;1;1;2;1;1;Alternative(for machine)
1;1;1;4;;;;;;;;;
1;1;2;;5;5;;;;;;;
1;1;3;;;;;6;;;;;
1;1;4;;5;5;;;;;;;
1;7;1;;;;;;5;5;;;
1;7;2;6;;;;;;;;;
1;7;3;;;;5;;;;;;
1;8;1;3;;;;;;;;;
1;8;2;;9;9;;;;;;;
1;8;3;;;;4;;;;;;
2;6;1;1;;;;;;;;;
2;6;2;;;;;;7;7;;;
2;6;3;;;;;5;;;;;
2;6;4;1;;;;;;;;;
2;3;1;;;;;;4;4;;;
2;3;2;;7;7;;;;;;;
2;3;3;;;;;2;;;;;
2;4;1;;;;;6;;;;;
2;4;2;;;;;;2;2;;;
2;4;3;;;;;6;;;;;
3;15;1;;;;;;;;;2;
3;15;2;;;;;;;;4;;
3;15;3;;;;;;1;1;;;
3;16;1;;;;;;;;5;;
3;16;2;;2;2;;;;;;;
3;16;3;;;;;;;;;3;
3;16;4;;2;2;;;;;;;
3;17;1;;;;;;1;1;;;
3;17;2;;;;;;;;1;;
3;17;3;;;;;;;;;2;
;;;;;;;;;;;;
Part Family;Part Family;Setup Time;;;;;;;;;;
1;1;0;;;;;;;;;;
1;2;3;;;;;;;;;;
1;3;7;;;;;;;;;;
2;1;4;;;;;;;;;;
2;2;0;;;;;;;;;;
2;3;4;;;;;;;;;;
3;1;6;;;;;;;;;;
3;2;5;;;;;;;;;;
3;3;0;;;;;;;;;;
;;;;;;;;;;;;
Cell;Cell;Transportation Time;;;;;;;;;;
1;1;0;;;;;;;;;;
1;2;3;;;;;;;;;;
1;3;5;;;;;;;;;;
2;1;4;;;;;;;;;;
2;2;0;;;;;;;;;;
2;3;8;;;;;;;;;;
3;1;6;;;;;;;;;;
3;2;5;;;;;;;;;;
3;3;0;;;;;;;;;;
;;;;;;;;;;;;
Job;Due Date;;;;;;;;;;;
1;98;;;;;;;;;;;
7;5;;;;;;;;;;;
8;110;;;;;;;;;;;
6;2;;;;;;;;;;;
3;75;;;;;;;;;;;
4;3;;;;;;;;;;;
15;103;;;;;;;;;;;
16;4;;;;;;;;;;;
17;13;;;;;;;;;;;
;;;;;;;;;;;;
No;Reference_point1;Reference_point2;;;;;;;;;;
1;43;80;;;;;;;;;;
2;51;121;;;;;;;;;;
3;58;100;;;;;;;;;;
4;47;131;;;;;;;;;;
5;37;113;;;;;;;;;;
6;35;89;;;;;;;;;;
7;46;134;;;;;;;;;;
8;59;113;;;;;;;;;;
9;44;111;;;;;;;;;;
10;60;116;;;;;;;;;;
11;70;79;;;;;;;;;;
12;40;97;;;;;;;;;;
13;64;84;;;;;;;;;;
14;64;92;;;;;;;;;;
15;65;128;;;;;;;;;;
16;55;117;;;;;;;;;;
17;60;74;;;;;;;;;;
18;71;123;;;;;;;;;;
19;66;77;;;;;;;;;;
20;53;106;;;;;;;;;;
21;44;134;;;;;;;;;;
22;60;97;;;;;;;;;;
23;50;115;;;;;;;;;;
24;59;102;;;;;;;;;;
25;43;95;;;;;;;;;;
26;53;84;;;;;;;;;;
27;47;116;;;;;;;;;;
28;49;83;;;;;;;;;;
29;70;79;;;;;;;;;;
30;70;103;;;;;;;;;;
31;58;76;;;;;;;;;;
32;38;87;;;;;;;;;;
33;37;93;;;;;;;;;;
34;54;92;;;;;;;;;;
35;71;127;;;;;;;;;;
36;64;87;;;;;;;;;;
37;37;84;;;;;;;;;;
38;50;132;;;;;;;;;;
39;49;121;;;;;;;;;;
40;70;81;;;;;;;;;;
41;52;93;;;;;;;;;;
42;36;102;;;;;;;;;;
43;47;97;;;;;;;;;;
44;48;74;;;;;;;;;;
45;57;125;;;;;;;;;;
46;66;121;;;;;;;;;;
47;37;75;;;;;;;;;;
48;67;87;;;;;;;;;;
49;67;103;;;;;;;;;;
50;45;81;;;;;;;;;;
51;38;96;;;;;;;;;;
52;52;96;;;;;;;;;;
53;55;92;;;;;;;;;;
54;36;84;;;;;;;;;;
55;43;100;;;;;;;;;;
56;62;84;;;;;;;;;;
57;39;125;;;;;;;;;;
58;71;93;;;;;;;;;;
59;71;113;;;;;;;;;;
60;66;116;;;;;;;;;;
61;69;107;;;;;;;;;;
