n;8;;;;;;;;;
L;2;;;;;;;;;
C;2;;;;;;;;;
m;7;;;;;;;;;
op4;27;;;;;;;;;
N_Cmax;85;;;;;;;;;
N_TT;188;;;;;;;;;
I_Cmax;31;;;;;;;;;
I_TT;0;;;;;;;;;
MaxFES;6500;;;;;;;;;
;;;;;;;;;;
;;;1;1;1;2;2;2;2;Cell
;;;1;2;2;3;3;4;6;Machine
Part Family;Job;Operation no;1;1;2;1;2;1;1;Alternative(for machine)
1;1;1;4;;;;;;;
1;1;2;;5;5;;;;;
1;1;3;;;;6;6;;;
1;1;4;;5;5;;;;;
1;2;1;;4;4;;;;;
1;2;2;3;;;;;;;
1;2;3;;4;4;;;;;
1;5;1;;;;;;3;;
1;5;2;;2;2;;;;;
1;5;3;6;;;;;;;
1;5;4;;;;;;3;;
1;9;1;;5;5;;;;;
1;9;2;4;;;;;;;
1;9;3;;5;5;;;;;
2;4;1;;;;6;6;;;
2;4;2;;;;;;2;;
2;4;3;;;;6;6;;;
2;12;1;;;;;;4;;
2;12;2;;;;;;;5;
2;12;3;;;;;;4;;
2;11;1;;;;;;;3;
2;11;2;;;;5;5;;;
2;11;3;;;;;;;3;
2;22;1;;;;;;3;;
2;22;2;;;;8;8;;;
2;22;3;;;;;;3;;
2;22;4;;;;8;8;;;
;;;;;;;;;;
Part Family;Part Family;Setup Time;;;;;;;;
1;1;0;;;;;;;;
1;2;3;;;;;;;;
2;1;4;;;;;;;;
2;2;0;;;;;;;;
;;;;;;;;;;
Cell;Cell;Transportation Time;;;;;;;;
1;1;0;;;;;;;;
1;2;3;;;;;;;;
2;1;4;;;;;;;;
2;2;0;;;;;;;;
;;;;;;;;;;
Job;Due Date;;;;;;;;;
1;98;;;;;;;;;
2;77;;;;;;;;;
5;48;;;;;;;;;
9;50;;;;;;;;;
4;3;;;;;;;;;
12;21;;;;;;;;;
11;53;;;;;;;;;
22;11;;;;;;;;;
;;;;;;;;;;
No;Reference_point1;Reference_point2;;;;;;;;
1;41;26;;;;;;;;
2;50;47;;;;;;;;
3;57;36;;;;;;;;
4;45;53;;;;;;;;
5;35;43;;;;;;;;
6;32;30;;;;;;;;
7;44;54;;;;;;;;
8;58;43;;;;;;;;
9;42;42;;;;;;;;
10;59;45;;;;;;;;
11;69;25;;;;;;;;
12;37;35;;;;;;;;
13;63;28;;;;;;;;
14;63;32;;;;;;;;
15;64;51;;;;;;;;
16;53;45;;;;;;;;
17;59;23;;;;;;;;
18;71;48;;;;;;;;
19;66;25;;;;;;;;
20;52;39;;;;;;;;
21;42;54;;;;;;;;
22;59;35;;;;;;;;
23;48;44;;;;;;;;
24;58;38;;;;;;;;
25;41;34;;;;;;;;
26;52;28;;;;;;;;
27;45;45;;;;;;;;
28;47;27;;;;;;;;
