n;4;;;;;;;;
L;2;;;;;;;;
C;2;;;;;;;;
m;6;;;;;;;;
op5;13;;;;;;;;
N_Cmax;61;;;;;;;;
N_TT;55;;;;;;;;
I_Cmax;27;;;;;;;;
I_TT;0;;;;;;;;
MaxFES;3000;;;;;;;;
;;;;;;;;;
;;;1;1;1;2;2;2;Cell
;;;1;2;2;3;3;4;Machine
Part Family;Job;Operation no;1;1;2;1;2;1;Alternative(for machine)
1;1;1;4;;;;;;
1;1;2;;5;5;;;;
1;1;3;;;;6;6;;
1;1;4;;5;5;;;;
1;2;1;;4;4;;;;
1;2;2;3;;;;;;
1;2;3;;4;4;;;;
2;3;1;;;;;;4;
2;3;2;;7;7;;;;
2;3;3;;;;2;2;;
2;4;1;;;;6;6;;
2;4;2;;;;;;2;
2;4;3;;;;6;6;;
;;;;;;;;;
Part Family;Part Family;Setup Time;;;;;;;
1;1;0;;;;;;;
1;2;3;;;;;;;
2;1;4;;;;;;;
2;2;0;;;;;;;
;;;;;;;;;
Cell;Cell;Transportation Time;;;;;;;
1;1;0;;;;;;;
1;2;3;;;;;;;
2;1;4;;;;;;;
2;2;0;;;;;;;
;;;;;;;;;
Job;Due Date;;;;;;;;
1;98;;;;;;;;
2;77;;;;;;;;
3;75;;;;;;;;
4;3;;;;;;;;
;;;;;;;;;
No;Reference_point1;Reference_point2;;;;;;;
1;32;12;;;;;;;
2;38;21;;;;;;;
3;42;17;;;;;;;
4;35;24;;;;;;;
5;29;19;;;;;;;
6;27;14;;;;;;;
7;34;24;;;;;;;
8;43;20;;;;;;;
9;33;19;;;;;;;
10;43;20;;;;;;;
11;49;12;;;;;;;
12;30;16;;;;;;;
13;46;13;;;;;;;
14;46;15;;;;;;;
15;46;23;;;;;;;
16;40;21;;;;;;;
17;43;11;;;;;;;
18;50;22;;;;;;;
19;47;11;;;;;;;
20;39;18;;;;;;;
21;33;24;;;;;;;
22;43;16;;;;;;;
23;37;20;;;;;;;
24;43;17;;;;;;;
25;32;15;;;;;;;
26;39;13;;;;;;;
27;35;20;;;;;;;
28;36;13;;;;;;;
29;49;12;;;;;;;
30;50;17;;;;;;;
31;42;11;;;;;;;
32;29;14;;;;;;;
33;29;15;;;;;;;
34;40;15;;;;;;;
35;50;23;;;;;;;
36;46;14;;;;;;;
37;29;13;;;;;;;
38;37;24;;;;;;;
39;36;21;;;;;;;
40;49;12;;;;;;;
41;38;15;;;;;;;
42;28;17;;;;;;;
