,n,20,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
0,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,m,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,op23,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N_Cmax,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N_TT,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I_Cmax,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I_TT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MaxFES,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,Cell
11,,,,1.0,1.0,1.0,1.0,2.0,5.0,19.0,29.0,3.0,4.0,20.0,20.0,20.0,20.0,30.0,7.0,8.0,13.0,14.0,33.0,6.0,31.0,32.0,9.0,10.0,11.0,Machine
12,Part Family,Job,Operation no,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Alternative(for machine)
13,1,74,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,1,74,2,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
15,1,74,3,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
16,1,74,4,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
17,1,74,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
18,1,75,1,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
19,1,75,2,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
20,1,75,3,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,1,75,4,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
22,1,75,5,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
23,1,76,1,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
24,1,76,2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
25,1,76,3,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
26,1,76,4,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
27,1,76,5,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
28,1,77,1,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
29,1,77,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
30,1,77,3,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
31,1,77,4,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
32,1,78,1,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
33,1,78,2,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
34,1,78,3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,1,78,4,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
36,1,79,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
37,1,79,2,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
38,1,79,3,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
39,1,79,4,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
40,2,80,1,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
41,2,80,2,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
42,2,80,3,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
43,2,81,1,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,
44,2,81,2,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
45,2,81,3,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
46,2,81,4,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
47,2,84,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
48,2,84,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
49,2,84,3,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
50,2,86,1,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
51,2,86,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
52,2,86,3,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
53,2,86,4,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
54,3,87,1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
55,3,87,2,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
56,3,87,3,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
57,3,87,4,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
58,3,88,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
59,3,88,2,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
60,3,88,3,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
61,3,88,4,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
62,3,88,5,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
63,3,89,1,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
64,3,89,2,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
65,3,89,3,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
66,3,89,4,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
67,3,90,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
68,3,90,2,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
69,3,90,3,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
70,3,90,4,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
71,4,82,1,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
72,4,82,2,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
73,4,82,3,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
74,4,82,4,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
75,4,82,5,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
76,4,83,1,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
77,4,83,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
78,4,83,3,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
79,4,83,4,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
80,4,85,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
81,4,85,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
82,4,85,3,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
83,4,85,4,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
84,5,91,1,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
85,5,91,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
86,5,91,3,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
87,5,92,1,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
88,5,92,2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
89,5,92,3,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
90,5,93,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
91,5,93,2,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
92,5,93,3,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
93,5,93,4,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Part Family,Part Family,Setup Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Cell,Cell,Transportation Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Job,Due Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,74,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,75,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,77,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,78,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,79,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,80,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,81,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,84,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,86,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,87,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
