,n,4,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,L,2,,,,,,,,
1,C,2,,,,,,,,
2,m,6,,,,,,,,
3,op5,13,,,,,,,,
4,N_Cmax,61,,,,,,,,
5,N_TT,55,,,,,,,,
6,I_Cmax,27,,,,,,,,
7,I_TT,0,,,,,,,,
8,MaxFES,3000,,,,,,,,
9,,,,,,,,,,
10,,,,1.0,1.0,1.0,2.0,2.0,2.0,Cell
11,,,,1.0,2.0,2.0,3.0,3.0,4.0,Machine
12,Part Family,Job,Operation no,1.0,1.0,2.0,1.0,2.0,1.0,Alternative(for machine)
13,1,1,1,4.0,,,,,,
14,1,1,2,,5.0,5.0,,,,
15,1,1,3,,,,6.0,6.0,,
16,1,1,4,,5.0,5.0,,,,
17,1,2,1,,4.0,4.0,,,,
18,1,2,2,3.0,,,,,,
19,1,2,3,,4.0,4.0,,,,
20,2,3,1,,,,,,4.0,
21,2,3,2,,7.0,7.0,,,,
22,2,3,3,,,,2.0,2.0,,
23,2,4,1,,,,6.0,6.0,,
24,2,4,2,,,,,,2.0,
25,2,4,3,,,,6.0,6.0,,
26,,,,,,,,,,
27,Part Family,Part Family,Setup Time,,,,,,,
28,1,1,0,,,,,,,
29,1,2,3,,,,,,,
30,2,1,4,,,,,,,
31,2,2,0,,,,,,,
32,,,,,,,,,,
33,Cell,Cell,Transportation Time,,,,,,,
34,1,1,0,,,,,,,
35,1,2,3,,,,,,,
36,2,1,4,,,,,,,
37,2,2,0,,,,,,,
38,,,,,,,,,,
39,Job,Due Date,,,,,,,,
40,1,98,,,,,,,,
41,2,77,,,,,,,,
42,3,75,,,,,,,,
43,4,3,,,,,,,,
44,,,,,,,,,,
45,No,Reference_point1,Reference_point2,,,,,,,
46,1,32,12,,,,,,,
47,2,38,21,,,,,,,
48,3,42,17,,,,,,,
49,4,35,24,,,,,,,
50,5,29,19,,,,,,,
51,6,27,14,,,,,,,
52,7,34,24,,,,,,,
53,8,43,20,,,,,,,
54,9,33,19,,,,,,,
55,10,43,20,,,,,,,
56,11,49,12,,,,,,,
57,12,30,16,,,,,,,
58,13,46,13,,,,,,,
59,14,46,15,,,,,,,
60,15,46,23,,,,,,,
61,16,40,21,,,,,,,
62,17,43,11,,,,,,,
63,18,50,22,,,,,,,
64,19,47,11,,,,,,,
65,20,39,18,,,,,,,
66,21,33,24,,,,,,,
67,22,43,16,,,,,,,
68,23,37,20,,,,,,,
69,24,43,17,,,,,,,
70,25,32,15,,,,,,,
71,26,39,13,,,,,,,
72,27,35,20,,,,,,,
73,28,36,13,,,,,,,
74,29,49,12,,,,,,,
75,30,50,17,,,,,,,
76,31,42,11,,,,,,,
77,32,29,14,,,,,,,
78,33,29,15,,,,,,,
79,34,40,15,,,,,,,
80,35,50,23,,,,,,,
81,36,46,14,,,,,,,
82,37,29,13,,,,,,,
83,38,37,24,,,,,,,
84,39,36,21,,,,,,,
85,40,49,12,,,,,,,
86,41,38,15,,,,,,,
87,42,28,17,,,,,,,
88,43,35,16,,,,,,,
89,44,35,11,,,,,,,
90,45,41,22,,,,,,,
91,46,47,21,,,,,,,
92,47,29,11,,,,,,,
93,48,48,14,,,,,,,
94,49,47,17,,,,,,,
95,50,34,12,,,,,,,
96,51,30,16,,,,,,,
97,52,38,16,,,,,,,
98,53,40,15,,,,,,,
99,54,28,13,,,,,,,
100,55,33,17,,,,,,,
101,56,45,13,,,,,,,
102,57,30,22,,,,,,,
103,58,50,15,,,,,,,
104,59,50,20,,,,,,,
105,60,47,20,,,,,,,
106,61,49,18,,,,,,,
107,62,43,13,,,,,,,
108,63,27,11,,,,,,,
109,64,30,12,,,,,,,
110,65,34,13,,,,,,,
111,66,28,23,,,,,,,
112,67,38,22,,,,,,,
113,68,50,12,,,,,,,
114,69,47,20,,,,,,,
115,70,48,11,,,,,,,
116,71,34,13,,,,,,,
117,72,44,13,,,,,,,
118,73,29,20,,,,,,,
119,74,42,14,,,,,,,
120,75,27,18,,,,,,,
121,76,32,14,,,,,,,
122,77,41,19,,,,,,,
123,78,31,19,,,,,,,
124,79,43,15,,,,,,,
125,80,35,18,,,,,,,
126,81,31,24,,,,,,,
127,82,47,11,,,,,,,
128,83,35,22,,,,,,,
129,84,43,15,,,,,,,
130,85,47,23,,,,,,,
131,86,38,15,,,,,,,
132,87,44,22,,,,,,,
133,88,36,21,,,,,,,
134,89,46,18,,,,,,,
135,90,28,15,,,,,,,
136,91,36,23,,,,,,,
137,92,28,21,,,,,,,
138,93,50,23,,,,,,,
139,94,34,23,,,,,,,
140,95,42,16,,,,,,,
141,96,37,18,,,,,,,
142,97,35,16,,,,,,,
143,98,48,15,,,,,,,
144,99,34,20,,,,,,,
145,100,46,14,,,,,,,
146,101,50,15,,,,,,,
147,102,36,13,,,,,,,
148,103,29,24,,,,,,,
149,104,38,22,,,,,,,
150,105,32,17,,,,,,,
151,106,45,13,,,,,,,
152,107,32,11,,,,,,,
153,108,30,14,,,,,,,
154,109,49,13,,,,,,,
155,110,29,17,,,,,,,
156,111,39,22,,,,,,,
157,112,43,17,,,,,,,
158,113,37,24,,,,,,,
159,114,49,16,,,,,,,
160,115,49,11,,,,,,,
161,116,36,12,,,,,,,
162,117,43,22,,,,,,,
163,118,35,11,,,,,,,
164,119,39,23,,,,,,,
165,120,42,11,,,,,,,
166,121,36,17,,,,,,,
167,122,42,13,,,,,,,
168,123,41,14,,,,,,,
169,124,34,15,,,,,,,
170,125,32,19,,,,,,,
171,126,35,13,,,,,,,
172,127,41,15,,,,,,,
173,128,44,13,,,,,,,
174,129,42,24,,,,,,,
175,130,44,13,,,,,,,
176,131,27,12,,,,,,,
177,132,48,13,,,,,,,
178,133,27,20,,,,,,,
179,134,38,16,,,,,,,
180,135,42,12,,,,,,,
181,136,45,11,,,,,,,
182,137,39,12,,,,,,,
183,138,29,11,,,,,,,
184,139,31,17,,,,,,,
185,140,46,13,,,,,,,
186,141,42,19,,,,,,,
187,142,30,15,,,,,,,
188,143,43,14,,,,,,,
189,144,39,16,,,,,,,
190,145,29,13,,,,,,,
191,146,36,19,,,,,,,
192,147,31,17,,,,,,,
193,148,27,14,,,,,,,
194,149,40,17,,,,,,,
195,150,31,24,,,,,,,
196,151,45,23,,,,,,,
197,152,43,12,,,,,,,
198,153,46,15,,,,,,,
199,154,42,17,,,,,,,
200,155,32,20,,,,,,,
201,156,50,13,,,,,,,
202,157,29,18,,,,,,,
203,158,39,16,,,,,,,
204,159,50,19,,,,,,,
205,160,38,22,,,,,,,
206,161,30,12,,,,,,,
207,162,34,17,,,,,,,
208,163,43,13,,,,,,,
209,164,48,11,,,,,,,
210,165,29,23,,,,,,,
211,166,37,20,,,,,,,
212,167,33,23,,,,,,,
213,168,36,21,,,,,,,
214,169,49,24,,,,,,,
215,170,38,16,,,,,,,
216,171,40,11,,,,,,,
217,172,30,16,,,,,,,
218,173,32,13,,,,,,,
219,174,38,19,,,,,,,
220,175,50,19,,,,,,,
221,176,33,11,,,,,,,
222,177,27,16,,,,,,,
223,178,45,20,,,,,,,
224,179,40,14,,,,,,,
225,180,38,19,,,,,,,
226,181,37,19,,,,,,,
227,182,36,15,,,,,,,
228,183,32,14,,,,,,,
229,184,48,14,,,,,,,
230,185,30,21,,,,,,,
231,186,38,24,,,,,,,
232,187,29,12,,,,,,,
233,188,32,12,,,,,,,
234,189,50,24,,,,,,,
235,190,31,17,,,,,,,
236,191,44,14,,,,,,,
237,192,29,17,,,,,,,
238,193,41,17,,,,,,,
239,194,43,23,,,,,,,
240,195,29,21,,,,,,,
241,196,32,20,,,,,,,
242,197,39,23,,,,,,,
243,198,49,24,,,,,,,
244,199,41,22,,,,,,,
245,200,30,24,,,,,,,
246,201,34,14,,,,,,,
247,202,38,13,,,,,,,
248,203,30,14,,,,,,,
249,204,49,23,,,,,,,
250,205,30,20,,,,,,,
251,206,42,19,,,,,,,
252,207,27,24,,,,,,,
253,208,48,13,,,,,,,
254,209,39,24,,,,,,,
255,210,45,21,,,,,,,
256,211,41,24,,,,,,,
257,212,30,16,,,,,,,
258,213,39,21,,,,,,,
259,214,38,14,,,,,,,
260,215,31,14,,,,,,,
261,216,39,13,,,,,,,
262,217,45,14,,,,,,,
263,218,30,18,,,,,,,
264,219,46,23,,,,,,,
265,220,34,15,,,,,,,
266,221,39,22,,,,,,,
267,222,45,17,,,,,,,
268,223,29,19,,,,,,,
269,224,42,18,,,,,,,
270,225,50,22,,,,,,,
271,226,37,20,,,,,,,
272,227,27,16,,,,,,,
273,228,35,15,,,,,,,
274,229,29,12,,,,,,,
275,230,43,16,,,,,,,
276,231,46,20,,,,,,,
277,232,44,23,,,,,,,
278,233,30,17,,,,,,,
279,234,47,21,,,,,,,
280,235,47,16,,,,,,,
281,236,35,19,,,,,,,
282,237,41,17,,,,,,,
283,238,32,22,,,,,,,
284,239,32,20,,,,,,,
285,240,34,24,,,,,,,
286,241,29,23,,,,,,,
287,242,33,16,,,,,,,
288,243,45,22,,,,,,,
289,244,31,16,,,,,,,
290,245,48,22,,,,,,,
291,246,37,21,,,,,,,
292,247,32,24,,,,,,,
293,248,39,22,,,,,,,
294,249,28,22,,,,,,,
295,250,33,19,,,,,,,
296,251,44,23,,,,,,,
297,252,43,19,,,,,,,
298,253,37,22,,,,,,,
299,254,28,18,,,,,,,
300,255,29,18,,,,,,,
301,256,29,16,,,,,,,
302,257,45,21,,,,,,,
303,258,33,23,,,,,,,
304,259,37,15,,,,,,,
305,260,29,15,,,,,,,
306,261,33,17,,,,,,,
307,262,47,11,,,,,,,
308,263,50,19,,,,,,,
309,264,37,19,,,,,,,
310,265,49,16,,,,,,,
311,266,44,16,,,,,,,
312,267,37,20,,,,,,,
313,268,31,14,,,,,,,
314,269,32,20,,,,,,,
315,270,49,24,,,,,,,
316,271,45,19,,,,,,,
317,272,33,16,,,,,,,
318,273,44,11,,,,,,,
319,274,49,17,,,,,,,
320,275,44,19,,,,,,,
321,276,36,21,,,,,,,
322,277,44,24,,,,,,,
323,278,35,15,,,,,,,
324,279,27,20,,,,,,,
325,280,41,22,,,,,,,
326,281,36,17,,,,,,,
327,282,41,20,,,,,,,
328,283,46,20,,,,,,,
329,284,49,12,,,,,,,
330,285,39,11,,,,,,,
331,286,42,21,,,,,,,
332,287,36,13,,,,,,,
333,288,40,20,,,,,,,
334,289,30,17,,,,,,,
335,290,33,23,,,,,,,
336,291,43,24,,,,,,,
337,292,49,15,,,,,,,
338,293,27,11,,,,,,,
339,294,43,17,,,,,,,
340,295,34,23,,,,,,,
341,296,32,18,,,,,,,
342,297,28,12,,,,,,,
343,298,41,15,,,,,,,
344,299,50,18,,,,,,,
345,300,40,11,,,,,,,
346,301,29,22,,,,,,,
347,302,50,20,,,,,,,
348,303,50,19,,,,,,,
349,304,34,18,,,,,,,
350,305,36,20,,,,,,,
351,306,30,18,,,,,,,
352,307,36,20,,,,,,,
353,308,29,17,,,,,,,
354,309,39,15,,,,,,,
355,310,43,21,,,,,,,
356,311,27,17,,,,,,,
357,312,45,19,,,,,,,
358,313,45,12,,,,,,,
359,314,43,14,,,,,,,
360,315,40,14,,,,,,,
361,316,44,19,,,,,,,
362,317,49,14,,,,,,,
363,318,46,22,,,,,,,
364,319,49,14,,,,,,,
365,320,35,16,,,,,,,
366,321,43,12,,,,,,,
